,Names,Prices,ratings,images
0,Karbonn K531 Dual SIM Feature Phone White Red,"Rs.  1,325",(32),https://n3.sdlcdn.com/imgs/k/l/t/230X258_sharpened/Karbonn-K531-Dual-SIM-Feature-SDL939750297-1-e9874.jpg
1,NBOX - Brown Artificial Leather Plain Cases Compatible For Apple iPhone 7 Plus ( Pack of 1 ),Rs.  249,(1),https://n4.sdlcdn.com/imgs/k/l/d/230X258_sharpened/NBOX-Brown-Artificial-Leather-Plain-SDL560216971-1-9ccb1.jpg
2,Karbonn K531 Dual SIM Feature Phone Black Red,"Rs.  1,325",(32),https://n2.sdlcdn.com/imgs/k/l/t/230X258_sharpened/Karbonn-K531-Dual-SIM-Feature-SDL939118366-1-ca3bf.jpg
3,Karbonn K531 Dual SIM Feature Phone Blue,"Rs.  1,325",(32),https://n1.sdlcdn.com/imgs/k/l/t/230X258_sharpened/Karbonn-K531-Dual-SIM-Feature-SDL974090244-1-d875a.jpg
4,Karbonn K531 Dual SIM Feature Phone Green,"Rs.  1,325",(32),
5,Nokia â€Ž12.5 x 6.9 x 6.4 cm Dual SIM Feature Phone Black,"Rs.  4,899",(1),
6,NBOX - Transparent Silicon Plain Cases Compatible For iPhone 13 ( Pack of 1 ),Rs.  159,(3),
7,Nokia 105+ DS 1456 Dual SIM Feature Phone Black,"Rs.  1,499",(3),
8,Nokia Nokia105 DualSIM1416 Dual SIM Feature Phone Black,"Rs.  1,469",(8),
9,Karbonn KX110I Dual SIM Feature Phone Black,Rs.  899,(19),
10,Nokia 105/1304 Single SIM Feature Phone Blue,,(6),
11,Nokia 105+ DS 1456 Dual SIM Feature Phone Red,,(3),
12,Nokia 105/1304 Single SIM Feature Phone Black,,(6),
13,NBOX Black 2.4A PVC Micro USB Fast Charging Data Transfer Phone Mobile Cable 1 meter Pack of 2,,(85),
14,JMA - Black Polycarbonate Hybrid Covers Compatible For Nothing Phone 1 ( Pack of 1 ),,(186),
15,Tweakymod 3D Back Covers For Apple iPhone 7 Plus,,(1),
16,Simmtronics 32 GB Class 10 Memory Card,,(2),
17,NBOX - Transparent Silicon Plain Cases Compatible For iPhone 13 ( Pack of 1 ),,(143),
18,Case Vault Covers Transparent Soft Silicon Cases For iPhone 13 -,,,
19,"NBOX-Wall Mobile Holders for all Smartphones Apple,Vivo, Oppo, Redmi,Xiaomi (Brown)",,,
